player,Pos,Rank,PTS,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
E. Room,GK,1,10,90,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,15,0
G. Plata,FW,2,8.86,90,0,3,2,0,0,0,49,4,2,1,1,0,0,0,0,0,0,0,0
M. Caicedo,MF,3,8.84,90,0,1,0,0,0,0,112,5,2,1,0,0,0,0,0,0,0,0,0
P. Vite,MF,4,8.54,90,0,1,1,0,0,0,94,3,2,0,2,1,0,0,0,0,0,0,0
P. Hincapié,DF,5,8.32,90,0,0,2,0,0,0,72,4,3,1,2,1,0,0,0,0,0,0,0
E. Valencia,FW,6,8.14,90,0,5,1,1,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0
J. Yeboah,MF,7,7.84,89,0,2,0,1,0,0,39,8,1,1,0,0,0,0,0,0,0,0,0
W. Pacho,DF,8,7.8,90,0,1,0,0,0,0,70,0,2,1,0,1,0,0,0,0,0,0,0
H. Galíndez,GK,9,7.3,90,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0
A. Franco,DF,9,7.3,83,0,0,0,0,0,0,63,2,2,1,0,1,0,0,0,0,0,0,0
K. Rodríguez,Sub,11,7.12,45,0,1,3,0,0,0,11,0,1,0,2,0,0,0,0,0,0,0,0
S. Floranus,DF,12,7.06,90,0,0,1,0,0,0,18,0,3,2,0,0,0,0,0,0,0,0,0
J. Brenet,DF,13,7,90,0,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0
P. Estupiñán,MF,14,6.94,70,0,0,0,0,0,0,50,2,3,0,0,2,0,0,0,0,0,0,0
J. Bacuna,MF,15,6.6,75,0,1,0,2,0,0,15,0,1,0,1,1,0,1,0,0,0,0,0
J. Gaari,DF,16,6.56,90,0,0,0,0,0,0,18,0,3,2,1,2,0,1,0,0,0,0,0
N. Angulo,Sub,17,6.46,20,0,1,0,0,0,0,16,2,0,1,0,0,0,0,0,0,0,0,0
L. Comenencia,MF,18,6.44,84,0,1,2,0,0,0,17,0,0,1,0,2,0,1,0,0,0,0,0
D. Fonville,DF,19,6.42,76,0,0,0,0,0,0,11,0,2,1,1,0,0,0,0,0,0,0,0
J. Alcívar,MF,20,6.28,45,0,0,1,0,0,0,33,1,1,0,0,1,0,1,0,0,0,0,0
A. Obispo,DF,21,6.22,90,0,0,0,0,0,0,16,0,1,1,0,0,0,0,0,0,0,0,0
L. Bacuna,MF,22,6.2,90,0,1,1,0,0,0,24,1,0,0,0,2,0,1,0,0,0,0,0
T. Chong,MF,23,6.1,76,0,0,0,0,0,0,20,0,0,0,3,1,0,0,0,0,0,0,0
J. Locadia,FW,24,5.86,83,0,0,0,1,0,0,18,0,0,0,1,1,2,0,0,0,0,0,0
Á. Preciado,Sub,25,5.76,7,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0
K. Gorré,Sub,26,5.74,15,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
R. van Eijma,Sub,26,5.74,14,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
J. Margaritha,Sub,28,5.56,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
J. Caicedo,Sub,29,5.54,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
G. Roemeratoe,Sub,29,5.54,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
G. Kastaneer,Sub,31,5.52,7,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,0,0,0,0
