,Pos.,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
Á. Fidalgo,MF,66,0,0,0,0,0,0,0.68,0,0,0,0.2,0,0,0,0,0,0,0,0
A. González,Sub,14,0,0,0,0,0,0,0.02,0,0,0,0,-0.1,0,0,0,0,0,0,0
A. Modiba,DF,77,0,0.4,0,0,0,0,0.3,0.04,0.6,0,0.2,-0.2,-0.1,0,0,-0.2,0,0,0
A. Vega,Sub,11,0,0,0,0,0,0,0.2,0.02,0,0,0,0,0,0,0,0,0,0,0
B. Gutiérrez,MF,66,0,0,0.4,0.4,0,0,0.46,0.04,0,0,0.1,-0.2,0,-0.2,0,0,0,0,0
C. Montes,DF,89,0,0,0,0,0,0,1.3,0.02,0,0.2,0.1,-0.2,0,0,-0.5,0,0,0,0
E. Álvarez,Sub,14,0,0,0,0,0,0,0.3,0,0.2,0,0.1,0,0,0,0,0,0,0,0
É. Lira,MF,76,0,0,0,0,0,0.6,0.9,0,0.4,0.2,0.2,0,0,0,0,0,0,0,0
E. Makgopa,Sub,14,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
G. Mora,Sub,24,0,0,0,0,0,0,0.28,0,0,0.2,0,-0.1,0,0,0,0,0,0,0
I. Okon,DF,90,0,0,0,0,0,0,0.98,0,0.4,0,0,0,0,0,0,-0.2,0,0,0
I. Rayners,FW,76,0,0,0,0,0,0,0.2,0.02,0,0,0,0,0,0,0,-0.2,0,0,0
I. Reyes,DF,90,0,0,0.2,0,0,0,0.84,0.04,0,0.2,0,0,0,0,0,0,0,0,0
J. Adams,MF,61,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,-0.1,0,0,0
J. Gallardo,DF,90,0,0,0.2,0.2,0,0,0.9,0,0,0.6,0,-0.1,0,0,0,0,0,0,0
J. Quiñones,MF,79,1,0.8,0.4,0.2,0,0,0.66,0.02,0,0,0.2,-0.1,0,0,0,0,0,0,0
J. Vásquez,DF,90,0,0,0,0,0,0,1.62,0,0.2,0.2,0,0,0,0,0,0,0,0,0
K. Mudau,DF,90,0,0,0,0,0,0,0.58,0.02,0.8,0.2,0.3,-0.2,0,0,0,-0.2,0,0,0
L. Chávez,Sub,24,0,0,0,0,0,0,0.56,0.02,0.4,0,0,-0.1,0,0,0,0,0,0,0
L. Foster,FW,56,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0,0,0,0,-0.1,0,0,0
M. Mbokazi,DF,90,0,0.4,0,0,0,0,0.6,0.04,0.4,0.2,0.3,-0.1,0,0,0,-0.2,0,0,0
N. Sibisi,DF,90,0,0,0,0,0,0,1,0,0,0.2,0,-0.1,0,-0.2,0,-0.2,0,0,0
O. Appollis,Sub,13,0,0,0,0,0,0,0.12,0,0.2,0,0,0,0,0,0,0,0,0,0
R. Alvarado,MF,90,0,0,0,0,0,0.6,0.7,0.08,1,0,0.2,-0.2,0,0,0,0,0,0,0
R. Jiménez,FW,76,1,0.8,0.2,0.2,0,0,0.38,0,0.2,0,0,-0.1,-0.1,0,0,0,0,0,0
R. Rangel,GK,90,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1,0
R. Williams,GK,90,0,0,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0,-1.2,0,1,0
T. Mbatha,Sub,34,0,0,0,0,0,0,0.14,0,0.4,0,0,0,0,0,0,-0.1,0,0,0
T. Mokoena,MF,90,0,0,0,0,0,0,0.84,0.04,0,0.4,0.2,-0.1,0,-0.2,0,-0.2,0,0,0
T. Zwane,Sub,23,0,0,0,0,0,0,0.14,0,0,0,0,-0.1,0,0,-0.5,-0.1,0,0,0
Y. Sithole,MF,49,0,0,0,0,0,0,0.38,0,0,0.2,0,-0.3,0,0,-0.5,-0.1,0,0,0
