player,MP,G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,SAV
Á. Fidalgo,66,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0
A. González,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
A. Modiba,77,0,0,0,0,0,1,1,0,15,2,3,1,2,2,0
A. Vega,11,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
B. Gutiérrez,66,0,0,0,1,1,4,0,2,23,2,0,0,2,1,0
C. Montes,89,0,0,1,0,0,0,0,0,65,1,0,0,2,1,0
E. Álvarez,14,0,0,0,0,0,0,0,0,15,0,1,0,0,1,0
É. Lira,76,0,1,0,0,0,0,0,0,45,0,2,0,0,2,0
E. Makgopa,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
G. Mora,24,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0
I. Okon,90,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0
I. Rayners,76,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
I. Reyes,90,0,0,0,0,0,1,0,0,42,2,0,0,0,0,0
J. Adams,61,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
J. Gallardo,90,0,0,0,0,0,2,0,1,45,0,0,0,1,0,0
J. Quiñones,79,1,0,0,0,0,5,2,1,33,1,0,0,1,2,0
J. Vásquez,90,0,0,0,0,0,0,0,0,81,0,1,0,0,0,0
K. Mudau,90,0,0,0,0,1,0,0,0,29,1,4,0,2,3,0
L. Chávez,24,0,0,0,0,0,0,0,0,28,1,2,0,1,0,0
L. Foster,56,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0
M. Mbokazi,90,0,0,0,0,0,1,1,0,30,2,2,0,1,3,0
N. Sibisi,90,0,0,0,1,0,0,0,0,50,0,0,0,1,0,0
O. Appollis,13,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
R. Alvarado,90,0,1,0,0,0,0,0,0,35,4,5,0,2,2,0
R. Jiménez,76,1,0,0,0,2,4,2,1,19,0,1,1,1,0,0
R. Rangel,90,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2
R. Williams,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,2
T. Mbatha,34,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0
T. Mokoena,90,0,0,0,1,0,0,0,0,42,2,0,0,1,2,0
T. Zwane,23,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0
Y. Sithole,49,0,0,1,0,0,0,0,0,19,0,0,0,3,0,0
